DPDP_Section,DPDP_Section_Name,DPDP_Rule,DPDP_Schedule,DPDP_Control,DPDP_Control_Description,GDPR_Control,GDPR_Control_Description,GDPR_Article,GDPR_Principle,OPP_Category,Relationship_Path,Mapping_Type,Confidence
Section 1,Short Title and Commencement.,Rule 1.0,,DPDP-01,"The DPDP Policy shall formally define 'Personal Data' in accordance with the applicable provisions of the Digital Personal Data Protection Act, establishing a clear understanding of the term for consistent application across all data processing activities.  (In accordance with Section 2(t) of the DPDP Act, 2023, “Personal Data” is defined as any information related to an individual that, either directly or indirectly, can be used to identify that person. This includes—but is not limited to—identifiers such as name, identification numbers, location data, online identifiers, or any factors specific to the physical, physiological, genetic, mental, economic, cultural, or social identity of an individual. All data assets that satisfy this definition must be treated as Personal Data and handled in a manner that ensures compliance with statutory requirements.)",,,,,,Section 1 -> NO GDPR MAPPING,NONE,0.0
Section 2,Definitions,Rule 2.0,,DPDP-02,"The Company’s DPDP Privacy Policy and associated Data Processing Agreements with relevant vendors are established to ensure that the collection and processing of personal data is conducted in a fair, lawful, and transparent manner, in alignment with the principles outlined in the Digital Personal Data Protection Act.",GDPR-02,The controller (fiduciary) shall inform the data subject (Principal) without delay of the reasons for not taking action on the data subject (principal)request.,,,UNMAPPED,Section 2 -> DPDP-02 -> GDPR-02 -> UNMAPPED,NONE,0.0
Section 2,Definitions,Rule 2.0,,DPDP-02,"The Company’s DPDP Privacy Policy and associated Data Processing Agreements with relevant vendors are established to ensure that the collection and processing of personal data is conducted in a fair, lawful, and transparent manner, in alignment with the principles outlined in the Digital Personal Data Protection Act.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,Third Party Sharing/Collection,Section 2 -> Rule 2.0 -> DPDP-02 -> GDPR-06 -> Art.6 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 2,Definitions,Rule 2.0,,DPDP-02,"The Company’s DPDP Privacy Policy and associated Data Processing Agreements with relevant vendors are established to ensure that the collection and processing of personal data is conducted in a fair, lawful, and transparent manner, in alignment with the principles outlined in the Digital Personal Data Protection Act.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,User Choice/Control,Section 2 -> Rule 2.0 -> DPDP-02 -> GDPR-06 -> Art.6 -> User Choice/Control,ARTICLE_MATCH,0.95
Section 2,Definitions,Rule 2.0,,DPDP-02,"The Company’s DPDP Privacy Policy and associated Data Processing Agreements with relevant vendors are established to ensure that the collection and processing of personal data is conducted in a fair, lawful, and transparent manner, in alignment with the principles outlined in the Digital Personal Data Protection Act.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,"User Access, Edit and Deletion","Section 2 -> Rule 2.0 -> DPDP-02 -> GDPR-06 -> Art.6 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 2,Definitions,Rule 2.0,,DPDP-02,"The Company’s DPDP Privacy Policy and associated Data Processing Agreements with relevant vendors are established to ensure that the collection and processing of personal data is conducted in a fair, lawful, and transparent manner, in alignment with the principles outlined in the Digital Personal Data Protection Act.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 2 -> Rule 2.0 -> DPDP-02 -> GDPR-06 -> Art.6 -> Policy Change,DIRECT_JURIX,1.0
Section 2,Definitions,Rule 2.0,,DPDP-02,"The Company’s DPDP Privacy Policy and associated Data Processing Agreements with relevant vendors are established to ensure that the collection and processing of personal data is conducted in a fair, lawful, and transparent manner, in alignment with the principles outlined in the Digital Personal Data Protection Act.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,"User Access, Edit and Deletion","Section 2 -> Rule 2.0 -> DPDP-02 -> GDPR-14 -> Art.14 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 2,Definitions,Rule 2.0,,DPDP-02,"The Company’s DPDP Privacy Policy and associated Data Processing Agreements with relevant vendors are established to ensure that the collection and processing of personal data is conducted in a fair, lawful, and transparent manner, in alignment with the principles outlined in the Digital Personal Data Protection Act.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,Data Retention,Section 2 -> Rule 2.0 -> DPDP-02 -> GDPR-14 -> Art.14 -> Data Retention,ARTICLE_MATCH,0.95
Section 3,Application of Act,Rule 14.0,,DPDP-31,"Organizations must ensure that any transfer of personal data outside the territory of India complies strictly with the conditions prescribed under DPDPA 2023. Personal data may only be transferred to jurisdictions approved by the Central Government, which will maintain a whitelist of permissible countries. Transfers must be undertaken with appropriate safeguards to ensure that the data remains subject to a level of protection comparable to DPDPA standards. Organizations must evaluate legal, regulatory, and contractual mechanisms to protect transferred data, such as entering into binding contractual clauses, conducting data protection impact assessments, and ensuring that data subjects’ rights are preserved in cross-border contexts. Data Principals must be informed about the possibility of cross-border transfers, and explicit consent must be obtained if required. Any transfer-related risks must be documented, and transfer agreements should mandate breach notifications, cooperation obligations, and compliance with grievance redressal mechanisms.",GDPR-36,Data processing follows applicable compliance requirements.,Art.36,,Third Party Sharing/Collection,Section 3 -> Rule 14.0 -> DPDP-31 -> GDPR-36 -> Art.36 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 3,Application of Act,Rule 14.0,,DPDP-31,"Organizations must ensure that any transfer of personal data outside the territory of India complies strictly with the conditions prescribed under DPDPA 2023. Personal data may only be transferred to jurisdictions approved by the Central Government, which will maintain a whitelist of permissible countries. Transfers must be undertaken with appropriate safeguards to ensure that the data remains subject to a level of protection comparable to DPDPA standards. Organizations must evaluate legal, regulatory, and contractual mechanisms to protect transferred data, such as entering into binding contractual clauses, conducting data protection impact assessments, and ensuring that data subjects’ rights are preserved in cross-border contexts. Data Principals must be informed about the possibility of cross-border transfers, and explicit consent must be obtained if required. Any transfer-related risks must be documented, and transfer agreements should mandate breach notifications, cooperation obligations, and compliance with grievance redressal mechanisms.",GDPR-36,Data processing follows applicable compliance requirements.,Art.36,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 3 -> Rule 14.0 -> DPDP-31 -> GDPR-36 -> Art.36 -> Policy Change,DIRECT_JURIX,1.0
